"countryCode";"TOTAL_M";"TOTAL_F";"OC1_M";"OC1_F";"OC2_M";"OC2_F";"OC3_M";"OC3_F";"OC4_M";"OC4_F";"OC5_M";"OC5_F";"OC7_M";"OC7_F";"OC8_M";"OC8_F";"OC9_M";"OC9_F"
"EU28";"16,78";"13,82";"31,32";"23,86";"23,66";"19,71";"18,86";"15,16";"14,47";"13,27";"11,4";"10,46";"12,43";"9,88";"11,29";"9,47";"9,76";"8,72"
"BE";"20,49";"19,15";"39,89";"34,45";"28,28";"27,65";"21,54";"20,32";"17,4";"17,47";"14,99";"15,3";"16,03";"15,22";"16,79";"15,96";"14,3";"13,82"
"BG";"2,52";"2,16";"6,05";"5,14";"4,45";"2,96";"3,23";"2,78";"2,16";"1,94";"1,42";"1,46";"2,28";"1,53";"1,93";"1,57";"1,4";"1,3"
"CZ";"5,99";"4,64";"13,41";"9,43";"9";"6,39";"7,07";"5,46";"5,36";"4,55";"3,56";"3,3";"4,82";"3,54";"4,48";"3,72";"3,53";"2,79"
"DK";"30,16";"25,35";"50,37";"39,34";"36,59";"29,72";"33,72";"27,66";"24,94";"24,54";"21,06";"20,75";"27,61";"22,74";"26,8";"24,27";"23,06";"19,93"
"DE";"19,87";"15,44";"46,22";"33,84";"29,97";"23,31";"23,27";"17,22";"17,63";"16,07";"12,77";"11,37";"16,71";"13,16";"15,1";"12,5";"10,38";"9,58"
"EE";"6,89";"4,95";"11,86";"8,82";"9,4";"6,68";"7,91";"5,69";"5,7";"4,62";"4,09";"3,44";"6,1";"4";"5,52";"4,1";"4,17";"3,05"
"IE";"26,2";"22,55";"33,87";"28,48";"37,89";"32,54";"27,36";"23,02";"24,24";"19,44";"17,79";"15,95";"21,49";"17";"19,73";"16,78";"18,29";"14,65"
"ES";"12,76";"10,86";"24,62";"20,63";"18,37";"15,97";"14,73";"12,16";"11,35";"9,32";"9,13";"8,06";"10,84";"8,82";"11,05";"8,58";"8,43";"7,46"
"FR";"18,78";"15,87";"33,65";"26,19";"25,25";"19,91";"18,87";"16,66";"14,18";"13,72";"13,92";"12,38";"14,08";"11,82";"14,19";"12,45";"12,04";"10,78"
"IT";"15,85";"14,88";"44,28";"29,44";"26,86";"24,54";"17,82";"14,44";"14,38";"12,72";"11,43";"10,16";"11,96";"9,11";"12,21";"10,11";"10,41";"9,3"
"CY";"11,94";"10,25";"27,79";"23,33";"17,38";"17,12";"14,62";"12,19";"9,13";"8,71";"7,19";"6,37";"8,94";"6,08";"8,43";"6,82";"6,72";"5,87"
"LV";"4,89";"4,04";"8,73";"7,19";"7,16";"5,03";"5,8";"4,46";"4,44";"3,83";"3,35";"2,74";"4,19";"2,96";"3,91";"3,35";"3";"2,44"
"LT";"4,2";"3,65";"7,67";"6,23";"5,87";"4,78";"4,35";"3,3";"3,74";"2,98";"2,67";"2,35";"3,34";"2,77";"3,33";"2,99";"2,39";"2,11"
"LU";"23,44";"22,18";"49,51";"38,59";"31,9";"32,06";"24,81";"24,33";"20";"19,55";"16,19";"15,1";"16,68";"13,57";"16,83";"13,8";"13,53";"12,9"
"HU";"5";"4,25";"11,51";"7,63";"8";"5,8";"5,77";"4,32";"4,46";"4,13";"3,44";"2,81";"3,67";"3,02";"3,68";"3,05";"2,93";"2,77"
"MT";"10,35";"9,25";"19,14";"15,02";"13,84";"11,95";"10,82";"9,75";"8,18";"8,28";"7,57";"7,48";"8,11";"7,48";"7,78";"7,09";"6,68";"5,83"
"NL";"19,41";"16,29";"33,49";"26,33";"25,32";"21,75";"21,53";"17,39";"16,31";"14,81";"13,28";"12,74";"15,57";"11,84";"14,58";"12,76";"10,67";"10,52"
"AT";"17,55";"13,65";"36,86";"26,95";"25,51";"20,37";"20,15";"16,3";"16,4";"14,48";"12,05";"10,87";"14,6";"10,96";"14,35";"11,82";"11,85";"9,56"
"PL";"5,87";"5,42";"12,57";"9,09";"8,7";"7,68";"6,15";"4,76";"4,22";"4,17";"3,44";"3,03";"4,42";"3,07";"4,41";"3,63";"3,39";"2,87"
"PT";"8,08";"6,88";"21,63";"16,02";"13,47";"11,93";"10,09";"8,64";"7,1";"6,6";"5,03";"4,4";"5,42";"3,84";"5,37";"3,83";"4,7";"3,88"
"RO";"2,85";"2,72";"6,81";"6,47";"4,74";"3,86";"3,21";"2,74";"2,5";"2,31";"1,57";"1,62";"2,36";"1,98";"2,36";"2";"1,54";"1,52"
"SI";"9,14";"8,5";"20,31";"17,8";"13,8";"11,54";"10,72";"9,31";"7,7";"7,9";"6,33";"5,75";"7,14";"5,72";"7,22";"5,74";"5,92";"4,93"
"SK";"5,9";"4,74";"12,24";"8,77";"8,17";"6,1";"6,61";"5,39";"4,84";"4,38";"3,9";"3,38";"4,92";"3,48";"4,53";"3,67";"3,62";"2,85"
"FI";"21,78";"17,77";"43,43";"34,16";"28,31";"23,84";"22,27";"18,48";"16,13";"15,91";"15,32";"14,32";"18,17";"15,63";"18,84";"16,03";"15,15";"12,51"
"SE";"22,22";"19,14";"37,07";"31,03";"26,6";"21,64";"23,61";"20,1";"17,94";"17,39";"16,96";"16,58";"19,48";"17,52";"18,87";"17,8";"15,7";"14,28"
"UK";"20,93";"16,56";"35,22";"26,38";"28,29";"24,29";"20,27";"16,89";"14,42";"13,17";"11,53";"10,68";"16,23";"12,68";"13,96";"11,1";"11,16";"9,51"
"IS";"17,73";"14,79";"34,71";"25,44";"21,59";"17,43";"22,99";"15,94";"14,6";"14,04";"12,82";"11,41";"15,8";"12,03";"14,07";"13,21";"11,98";"10,99"
"NO";"33,09";"28,31";"51,73";"40,05";"40,53";"33,13";"37,7";"30,04";"26,58";"25,59";"23,47";"23,68";"27,01";"24,22";"28,23";"24,41";"23,1";"21,3"
"CH";"36,53";"30,18";"56,72";"42,96";"45,83";"39,8";"38,02";"32,82";"28,68";"28,3";"27,27";"24,42";"28,96";"23,59";"28,51";"22,66";"27,04";"22,75"
