"countryCode";"TOTAL_M";"TOTAL_F";"OC1_M";"OC1_F";"OC2_M";"OC2_F";"OC3_M";"OC3_F";"OC4_M";"OC4_F";"OC5_M";"OC5_F";"OC7_M";"OC7_F";"OC8_M";"OC8_F";"OC9_M";"OC9_F"
"EU27_2020";"16,63";"14,10";"32,43";"22,37";"24,41";"18,91";"19,46";"16,06";"15,06";"13,63";"11,53";"10,96";"13,43";"9,1";"11,99";"9,18";"10,16";"9,21"
"BE";"20,78";"19,58";"40,28";"38,06";"31,33";"30,4";"21,77";"21,04";"16,98";"16,78";"14,62";"14,31";"16,94";"14,86";"17,28";"14,86";"13,73";"12,75"
"BG";"3,55";"3,05";"8,22";"6,73";"6,3";"4,1";"4,38";"3,81";"3,07";"2,66";"1,97";"2,07";"3,03";"2,25";"2,69";"2,3";"1,97";"1,88"
"CZ";"7,84";"6,29";"16,52";"11,89";"11,58";"8,54";"9,11";"7,37";"6,98";"5,88";"5,19";"4,92";"6,57";"5,12";"6,1";"5,3";"4,79";"3,93"
"DK";"31,97";"27,30";"54,37";"43,09";"38,76";"31,65";"35,83";"29,8";"27,76";"26,56";"22,01";"22,36";"29,65";"24,68";"28,88";"26,36";"24,83";"21,45"
"DE";"21,70";"17,33";"49,71";"37,27";"32,23";"25,71";"25,41";"19,16";"18,75";"17,56";"14,37";"12,81";"18,65";"15,42";"16,6";"14,27";"11,86";"10,96"
"EE";"8,50";"6,64";"13,72";"10,78";"12,13";"9,04";"9,29";"7,17";"7,27";"6,22";"5,38";"4,75";"7,42";"5,13";"6,83";"5,23";"5,51";"4,15"
"IE";"24,29";"21,55";"39,13";"27,94";"34,62";"30,83";"24,6";"22,46";"21,56";"17,28";"14,52";"14,25";"17,76";"14,54";"17,43";"16,82";"14,51";"12,75"
"EL";"9,18";"8,23";"22,3";"18,97";"14,17";"12,15";"10,73";"8,09";"9,04";"8,11";"6,41";"5,69";"8,12";"5,89";"7,66";"5,67";"5,85";"5,27"
"ES";"12,88";"11,35";"26";"21,63";"18,83";"16,73";"14,84";"12,67";"11,99";"10,24";"9,46";"8,37";"10,94";"8,6";"11,35";"9,63";"9,01";"7,77"
"FR";"19,69";"16,40";"35,55";"26,3";"26,9";"20,65";"19,43";"16,94";"14,75";"13,76";"14,15";"12,94";"14,58";"12,3";"14,69";"12,63";"12,4";"11,71"
"HR";"6,73";"5,96";"14,24";"10,16";"10,43";"8,47";"7,52";"6,44";"6,36";"5,88";"5,17";"4,36";"5,25";"3,74";"5,42";"4,22";"4,6";"3,62"
