"countryCode";"TOTAL_M";"TOTAL_F";"OC1_M";"OC1_F";"OC2_M";"OC2_F";"OC3_M";"OC3_F";"OC4_M";"OC4_F";"OC5_M";"OC5_F";"OC7_M";"OC7_F";"OC8_M";"OC8_F";"OC9_M";"OC9_F"
"IT";"15,93";"15,07";"46,28";"31,25";"26,1";"23,2";"18,8";"15,68";"14,78";"12,93";"11,37";"10,52";"12,41";"10,06";"13,02";"11";"10,65";"9,51"
"CY";"11,87";"10,63";"33,02";"28,88";"17,29";"16,75";"12,87";"12,17";"8,42";"8,32";"7,2";"6,32";"9,25";"7,02";"8,63";"7,15";"6,81";"5,8"
"LV";"7,00";"5,63";"12,3";"9,81";"10,82";"7,38";"7,91";"6,14";"6,19";"5,03";"4,59";"3,83";"5,89";"4,22";"5,55";"4,38";"4,33";"3,33"
"LT";"5,70";"4,90";"9,72";"8,1";"7,87";"6,17";"5,86";"4,51";"4,93";"4,06";"3,59";"3,33";"4,74";"3,96";"4,49";"4,16";"3,41";"2,88"
"LU";"25,28";"24,91";"52,31";"41,33";"32,65";"32,89";"25,57";"27,94";"20,88";"21,21";"17,18";"16,77";"18,04";"16,13";"17,23";"14,92";"14,9";"13,77"
"HU";"5,88";"5,04";"12,45";"9,25";"9,26";"6,74";"6,55";"5,19";"5,82";"4,77";"3,87";"3,71";"4,81";"3,96";"4,47";"3,96";"3,34";"3,02"
"MT";"12,62";"10,98";"21,84";"17,35";"16,41";"14,25";"13,62";"11,47";"10,7";"9,87";"9,85";"8,64";"10,51";"9,27";"10,35";"8,9";"7,81";"6,59"
"NL";"19,76";"16,85";"36,49";"29,09";"27,3";"23,84";"22,55";"18,7";"17,5";"15,92";"13,92";"12,9";"16,65";"12,92";"16,08";"13,46";"10,53";"10,67"
"AT";"19,03";"15,15";"39,18";"28,78";"26,75";"22,2";"21,46";"17,66";"18,13";"15,61";"13,05";"11,91";"15,89";"11,55";"15,47";"12,67";"12,74";"10,45"
"PL";"6,54";"5,98";"13,11";"9,69";"9,42";"8,15";"6,76";"5,32";"4,95";"4,69";"4,03";"3,64";"5,02";"3,88";"4,94";"4,17";"4,04";"3,34"
"PT";"8,06";"7,35";"20,81";"16,28";"14,11";"12,72";"9,99";"8,73";"6,61";"6,42";"5,42";"4,88";"5,73";"4,47";"5,78";"4,42";"4,75";"4,35"
"RO";"5,17";"5,06";"10,59";"9,65";"9,18";"7,77";"5,78";"5,07";"4,4";"3,9";"3,13";"3,15";"4,14";"3,38";"3,91";"3,34";"3,06";"2,85"
"SI";"10,01";"9,08";"21,64";"18,26";"14,8";"12,1";"11,81";"9,85";"8,54";"8,69";"7,4";"6,53";"8,01";"6,59";"7,8";"6,23";"6,82";"5,55"
"SK";"7,42";"5,95";"14,49";"10,46";"9,85";"7,44";"8,24";"6,56";"6,23";"5,44";"5,22";"4,53";"6,48";"4,99";"6,01";"5,11";"4,67";"3,77"
"FI";"22,04";"18,32";"47,14";"37,13";"28,11";"24,18";"22,93";"18,53";"17,31";"16,39";"16,04";"14,88";"17,82";"15,68";"18,24";"15,65";"14,81";"12,55"
"SE";"21,50";"18,91";"36,93";"30,37";"25,44";"21,8";"23,11";"19,22";"17,08";"16,73";"16,53";"16,11";"18,98";"16,83";"18,45";"17,78";"15,24";"13,7"
"IS";"26,96";"23,25";"53,57";"40,36";"34,74";"28,35";"34,18";"26,46";"22,28";"22,6";"19,9";"17,8";"25,77";"19,61";"21,27";"19,72";"18,38";"16,75"
"NO";"31,90";"27,68";"50,24";"38,76";"39,08";"31,4";"36,15";"28,87";"26,05";"24,99";"22,31";"22,6";"25,13";"21,59";"26,82";"23,61";"22,28";"21,23"
"CH";"39,97";"32,52";"62,17";"47,46";"49,69";"41,82";"40,89";"34,58";"30,84";"30,77";"28,64";"25,89";"30,52";"25,04";"29,49";"23,97";"30,62";"24,9"
